v1,v2
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
spam,"URGENT! Your Mobile No. was awarded ??2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
ham,here is my new address -apples&pairs&all that malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
ham,I am going to sao mu today. Will be done only at 12 
ham,?? predict wat time ?_'ll finish buying?
ham,"Good stuff, will do."
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
ham,Are you there in room.
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
ham,K..k:)how much does it cost?
ham,I'm home.
ham,"Dear, will call Tmorrow.pls accomodate."
ham,First answer my question.
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ??1.50 SP:Tyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
ham,I only haf msn. It's yijue@hotmail.com
ham,He is there. You call and meet him
ham,No no. I will check all rooms befor activities
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
ham,Got c... I lazy to type... I forgot ?_ in lect... I saw a pouch but like not v nice...
ham,"K, text me when you're on the way"
ham,"Sir, Waiting for your mail."
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"""
ham,I know you are. Can you pls open the back?
ham,Yes see ya not on the dot
ham,Whats the staff name who is taking class for us?
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
ham,K..i deleted my contact that why?
ham,Sindu got job in birla soft ..
ham,The wine is flowing and i'm i have nevering..
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
ham,Ok... Ur typical reply...
spam,Find out how to start your own business today!
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
ham,Aaooooright are you at work?
ham,I'm leaving my house now...
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
spam,You are a winner U have been specially selected 2 receive ??1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
ham,New car and house for my parents.:)i have only new job in hand:)
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
ham,I place all ur points on e cultures module already.
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a ??900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
ham,Great escape. I fancy the bridge but needs her lager. See you tomo 
ham,Yes :)it completely in out of form:)clark also utter waste.
ham,"Sir, I need AXIS BANK account no and bank address."
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
ham,What time you coming down later? 
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
ham,"Well, i'm gonna finish my bath now. Have a good...fine night."
ham,Let me know when you've got the money so carlos can make the call
ham,U still going to the mall?
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
ham,Text her. If she doesnt reply let me know so i can have her log in
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
ham,Lol no. U can trust me.
ham,ok. I am a gentleman and will treat you with dignity and respect.
ham,"He will, you guys close?"
ham,Going on nothing great.bye
spam,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
ham,"Haha awesome, be there in a minute"
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed ??1000 cash or ??5000 prize!
ham,Have you got Xmas radio times. If not i will get it now
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
ham,Hi :)finally i completed the course:)
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
ham,Gud mrng dear hav a nice day
ham,Did u got that persons story
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
ham,"Found it, ENC  &lt;#&gt; , where you at?"
ham,I sent you  &lt;#&gt;  bucks
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,Goodmorning sleeping ga.
ham,U call me alter at 11 ok.
ham,?? say until like dat i dun buy ericsson oso cannot oredi lar...
ham,"Aight yo, dats straight dogg"
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
ham,Both :) i shoot big loads so get ready!
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester."
ham,Home so we can always chat
ham,K:)k:)good:)study well.
ham,Yup... How ?_ noe leh...
ham,Sounds great! Are you home now?
ham,Finally the match heading towards draw as your prediction.
ham,Tired. I haven't slept well the past few nights.
ham,Easy ah?sen got selected means its good..
ham,I have to take exam with march 3
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
ham,Ok no prob. Take ur time.
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
spam,URGENT: Last chance to win a free iPhone 15 ??V Act Now!
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY ??1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
ham,Would really appreciate if you call me. Just need someone to talk to.
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
ham,Hey company elama po mudyadhu.
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
ham,Dear good morning now only i am up
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
ham,Dear we are going to our rubber place
ham,"Sorry battery died, yeah I'm here"
ham,Yes:)here tv is always available in work place..
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
ham,I have printed it oh. So  &lt;#&gt;  come upstairs
ham,Or ill be a little closer like at the bus stop on the same street
ham,Where are you?when wil you reach here?
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
ham,Tomarrow final hearing on my laptop case so i cant.
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
ham,U don't remember that old commercial?
ham,Too late. I said i have the website. I didn't i have or dont have the slippers
ham,I asked you to call him now ok
ham,Kallis wont bat in 2nd innings.
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,Ranjith cal drpd Deeraj and deepak 5min hold
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,What you doing?how are you?
ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
ham,"I'm back, lemme know when you're ready"
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out
ham,Mmm so yummy babe ... Nice jolt to the suzy
ham,Where are you lover ? I need you ...
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
ham,I???m parked next to a MINI!!!! When are you coming in today do you think?
ham,Yup
ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
ham,Why you Dint come with us.
ham,Same. Wana plan a trip sometme then
ham,"Not sure yet, still trying to get a hold of him"
spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
ham,The evo. I just had to download flash. Jealous?
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
ham,"Come to mu, we're sorting out our narcotics situation"
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,"Usf I guess, might as well take 1 car"
ham,No objection. My bf not coming.
ham,Thanx...
ham,Tell rob to mack his gf in the theater
ham,"Awesome, I'll see you in a bit"
ham,Just sent it. So what type of food do you like?
ham,All done? All handed in? Celebrations in full swing yet?
ham,You got called a tool?
ham,\Wen u miss someone
ham,Ok. I asked for money how far
ham,Okie...
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
ham,"K, I might come by tonight then if my class lets out early"
ham,Ok..
ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
ham,Hey you told your name to gautham ah?
ham,Haf u found him? I feel so stupid da v cam was working.
ham,Oops. 4 got that bit.
ham,Are you this much buzy
ham,I accidentally deleted the message. Resend please.
spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
ham,Unless it's a situation where YOU GO GURL would be more appropriate
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
ham,I cant pick the phone right now. Pls send a message
ham,Need a coffee run tomo?Can't believe it's that time of week already
ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
ham,He is a womdarfull actor
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
ham,Yup... From what i remb... I think should be can book... 
ham,Jos ask if u wana meet up?
ham,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
ham,Where are the garage keys? They aren't on the bookshelf
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
spam,"Think ur smart ? Win ??200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
ham,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
ham,You made my day. Do have a great day too.
ham,K.k:)advance happy pongal.
ham,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
ham,"Not really dude, have no friends i'm afraid :("
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
ham,"Coffee cake, i guess..."
ham,"Merry Christmas to you too babe, i love ya *kisses*"
ham,Hey... Why dont we just go watch x men and have lunch... Haha 
ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
ham,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
ham,No problem. How are you doing?
ham,Hi da:)how is the todays class?
ham,"I'd say that's a good sign but, well, you know my track record at reading women"
ham,"Cool, text me when you're parked"
ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
ham,K.k:)apo k.good movie.
ham,Maybe i could get book out tomo then return it immediately ..? Or something.
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
ham,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
spam,Valentines Day Special! Win over ??1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
ham,"Ta-Daaaaa! I am home babe, are you still up ?"
ham,Cool. So how come you havent been wined and dined before?
ham,Just sleeping..and surfing
spam,Congratulations! You've been selected for an exclusive opportunity to make $$$ right now!
ham,U calling me right? Call my hand phone...
ham,Ok that's great thanx a lot.
ham,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
ham,Where u been hiding stranger?
ham,Am not interested to do like that.
ham,My sister cleared two round in birla soft yesterday.
ham,Gudnite....tc...practice going on
ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
ham,One small prestige problem now.
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
ham,"Nah can't help you there, I've never had an iphone"
ham,If you're not in my car in an hour and a half I'm going apeshit
ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
ham,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
ham,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
ham,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted"
ham,Ha ha cool cool chikku chikku:-):-DB-)
ham,Oh ok no prob..
ham,Check audrey's status right now
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...
ham,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
ham,Well i know Z will take care of me. So no worries.
spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
spam,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
ham,Wat uniform? In where get?
ham,"Cool, text me when you're ready"
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
ham,I will spoil you in bed as well :)
ham,I'm going for bath will msg you next  &lt;#&gt;  min..
ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
spam,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994"
ham,Can you say what happen
ham,You could have seen me..i did't recognise you Face.:)
ham,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going
ham,Keep my payasam there if rinu brings
